tag,tag_cn
bodystocking,连体裤袜
bodysuit,连体紧身衣
bodysuit under clothes,紧身衣裤
bokeh,焦外成像
bokken,木剑
bokura wa ima no naka de,《如今的我们》
bolo tie,波洛领带
bolt action,栓式枪机
bomb,炸弹
bomber jacket,飞行员夹克
bondage,捆绑play
bondage outfit,束缚服
bone,骨头
bone hair ornament,骨头状饰品
boned meat,带骨肉
bonnet,bonnet女帽
book,书
book hug,抱着书
book stack,书堆
bookbag,书包
bookmark,书签
bookshelf,书架
boots,长靴
boots removed,脱下的靴子
border,边框
bored,无聊的
borrowed character,借鉴的角色
borrowed design,借鉴的设计
borrowed garments,男友的衣服
bottle,瓶子
bottomless,裸下半身
bouncing breasts,乳摇
bound,绑住的
bound arms,手臂被束缚
bound legs,腿被束缚
bound wrists,手腕被束缚
bouquet,花束
bow,蝴蝶结
bow (instrument),弦类乐器
bow (weapon),弓
bow bikini,带蝴蝶结的比基尼
bow bra,带蝴蝶结的胸罩
bow hairband,带蝴蝶结的发带
bow legwear,带蝴蝶结的裤袜
bow panties,带蝴蝶结的内裤
bowing,鞠躬
bowl,碗
bowl cut,锅盖头
bowl hat,碗状帽子
bowtie,领结
box,箱子
boxcutter,刻刀
boxers,拳击手
boxing gloves,拳套
boy on top,男上体位
bra,胸罩
bra lift,掀上去的胸罩
bra peek,微微露出胸罩
bra pull,拉下的胸罩
bra removed,摘下的胸罩
bra strap,内衣肩带
bra through clothes,透过衣服可以看到胸罩
bracelet,手镯
bracer,护腕
braid,三股辫
braided bangs,辫子刘海
braided bun,辫式发髻
braided ponytail,麻花辫马尾
branch,分支
brand name imitation,名牌neta
bread,面包
breast bondage,乳房绑缚
breast conscious,对胸部在意
breast curtains,乳帘
breast envy,胸围歧视
breast expansion,丰胸
breast grab,揉胸
breast hold,抱着胸部
breast lift,托着胸部
breast padding,胸垫
breast pocket,乳袋
breast poke,戳胸
breast press,挤压胸部
breast rest,搁着胸部
breast slip,胸部走光
breast smother,洗面奶
breast squeeze,从两侧挤胸
breast sucking,吸奶
breast suppress,手放在乳房上方
breast tattoo,胸部纹身
breastless clothes,露胸的衣服
breastplate,胸甲
breasts,乳房
breasts apart,向两侧摊开的乳房
breasts on glass,胸压玻璃
breasts on head,压在头上的乳房
breasts outside,露出的乳房
breath,呼吸
breathing fire,喷火
brick,砖
brick wall,砖墙
bridal gauntlets,婚纱手套
bridal veil,婚纱头纱
bride,新娘
bridge,桥
briefcase,公文包
briefs,男式内裤
bright pupils,明亮的瞳孔
broken,破碎的
broken glass,碎玻璃
broken horn,断角
broken weapon,破碎的武器
brooch,胸针
broom,扫帚
broom riding,骑扫帚
brother and sister,姐弟|兄妹
brothers,兄弟
brown-framed eyewear,棕色镜框眼镜
brown background,棕色背景
brown belt,棕色皮带
brown bikini,棕色比基尼
brown bow,棕色蝴蝶结
brown cape,棕色斗篷
brown cardigan,棕色开襟衫
brown coat,棕色外套
brown dress,棕色连衣裙
brown eyes,棕色的眼睛
brown footwear,棕色鞋类
brown gloves,棕色手套
brown hair,棕色头发
brown hairband,棕色发带
brown headwear,棕色头饰
brown jacket,棕色夹克
brown kimono,棕色和服
brown legwear,棕色的裤袜
brown neckwear,棕色领饰
brown panties,棕色内裤
brown pants,棕色长裤
brown ribbon,褐色丝带
brown sailor collar,棕色水手领
brown scarf,棕色围巾
